VALID,VALID2,LAT,LON,MAG,WFO,TYPECODE,TYPETEXT,CITY,COUNTY,STATE,SOURCE,REMARK,UGC,UGCNAME,QUALIFIER
201906212238,2019/06/21 22:38,36.79,-89.01,None,PAH,D,TSTM WND DMG,ARLINGTON,CARLISLE,KY,PUBLIC,WIDESPREAD TREE AND POWER LINE DAMAGE.,KYC039,Carlisle,
201906212239,2019/06/21 22:39,36.69,-88.71,None,PAH,D,TSTM WND DMG,3 NNE WINGO,GRAVES,KY,PUBLIC,DAMAGE TO THE FRONT OF THE CATFISH HOUSE. WINDOWS BLOWN OUT OF CARS. TIME ESTIMATED.,KYC083,Graves,
201906212240,2019/06/21 22:40,36.42,-89.05,None,MEG,D,TSTM WND DMG,UNION CITY,OBION,TN,SOCIAL MEDIA,TREES_ POWER LINES_ AND UTILITY POLES DOWN.,TNC131,Obion,
201906212242,2019/06/21 22:42,37.00,-88.30,None,PAH,D,TSTM WND DMG,2 S GILBERTSVILLE,MARSHALL,KY,NWS STORM SURVEY,MICROBURST AT THE KENTUCKY DAM VILLAGE GOLF CLUB. PEAK WINDS 110 MPH. SNAPPED OR UPROOTED 75 TREES.,KYC157,Marshall,
201906212242,2019/06/21 22:42,36.99,-88.30,None,PAH,T,TORNADO,2 S GILBERTSVILLE,MARSHALL,KY,NWS STORM SURVEY,50 YARD WIDE TORNADO WITH PATH LENGTH OF .75 MILES. PEAK WINDS 110 MPH_ RATED EF1. SNAPPED AND UPROOTED TREES. DAMAGED 2 PIERS AT KENTUCKY DAM MARINA.,KYC157,Marshall,
201906212245,2019/06/21 22:45,32.87,-100.83,1.5,MAF,H,HAIL,10 WSW HUDD,SCURRY,TX,PUBLIC,,TXC415,Scurry,E
201906212247,2019/06/21 22:47,39.14,-103.47,60.0,BOU,G,TSTM WND GST,HUGO,LINCOLN,CO,TRAINED SPOTTER,NICKEL-SIZED HAIL; 0.22 INCH OF RAIN.,COC073,Lincoln,M
201906212247,2019/06/21 22:47,37.03,-88.24,None,PAH,D,TSTM WND DMG,2 N GRAND RIVERS,LIVINGSTON,KY,PUBLIC,AT KENTUCKY DAM MARINA MULTIPLE BOATS BROKE LOOSE FROM MOORINGS. PARTS OF THE MARINA SUFFERED WIND DAMAGE. TIME ESTIMATED.,KYC139,Livingston,
201906212249,2019/06/21 22:49,37.53,-86.97,None,LMK,D,TSTM WND DMG,2 NNW BEDA,OHIO,KY,911 CALL CENTER,REPORT OF TREE DOWN NEAR US HWY 231 N.,KYC183,Ohio,
201906212250,2019/06/21 22:50,36.34,-88.86,None,MEG,D,TSTM WND DMG,MARTIN,WEAKLEY,TN,TRAINED SPOTTER,SPOTTER REPORTED MULTIPLE TREES FALLEN IN MARTIN TN.,TNC183,Weakley,
201906212254,2019/06/21 22:54,36.86,-88.35,1.75,PAH,H,HAIL,BENTON,MARSHALL,KY,FIRE DEPT/RESCUE,PING PONG BALL TO GOLF BALL SIZE HAIL.,KYC157,Marshall,E
201906212254,2019/06/21 22:54,36.86,-88.35,70.0,PAH,G,TSTM WND GST,BENTON,MARSHALL,KY,FIRE DEPT/RESCUE,,KYC157,Marshall,E
201906212254,2019/06/21 22:54,37.76,-86.68,None,LMK,D,TSTM WND DMG,3 SE PATESVILLE,HANCOCK,KY,911 CALL CENTER,TREE DOWN ACROSS STATE ROUTE 1700. TIME ESTIMATED FROM RADAR.,KYC091,Hancock,
201906212255,2019/06/21 22:55,36.13,-90.16,None,MEG,D,TSTM WND DMG,SENATH,DUNKLIN,MO,SOCIAL MEDIA,LARGE TREE DOWN AT THE BASEBALL FIELD.,MOC069,Dunklin,
201906212255,2019/06/21 22:55,36.56,-88.81,None,PAH,D,TSTM WND DMG,1 SSW WATER VALLEY,GRAVES,KY,EMERGENCY MNGR,TREE FELL ON UNOCCUPIED HOUSE.,KYC083,Graves,
201906212255,2019/06/21 22:55,36.76,-88.30,None,PAH,D,TSTM WND DMG,HARDIN,MARSHALL,KY,TRAINED SPOTTER,SIDING BLOWN OFF A HOME.,KYC157,Marshall,
201906212300,2019/06/21 23:00,39.09,-108.12,0.25,GJT,H,HAIL,MESA 5SSE,MESA,CO,NWS EMPLOYEE,HAIL UP TO 0.5 IN DIAMETER.,COC077,Mesa,M
201906212300,2019/06/21 23:00,38.92,-104.56,0.7,PUB,H,HAIL,3 ESE FALCON,EL PASO,CO,TRAINED SPOTTER,,COC041,El Paso,M
201906212300,2019/06/21 23:00,30.89,-102.67,1.0,MAF,H,HAIL,13 E FORT STOCKTON,PECOS,TX,PUBLIC,,TXC371,Pecos,M
201906212300,2019/06/21 23:00,36.70,-88.40,50.0,PAH,G,TSTM WND GST,2 NE KIRKSEY,CALLOWAY,KY,EMERGENCY MNGR,,KYC035,Calloway,M
201906212300,2019/06/21 23:00,36.26,-89.01,None,MEG,D,TSTM WND DMG,4 N KENTON,OBION,TN,TRAINED SPOTTER,TWO LARGE OAK TREES AND SEVERAL APPLE TREES WERE DOWN OFF OF EAST UNION GROVE ROAD NORTH OF KENTON. TIME ESTIMATED OFF RADAR.,TNC131,Obion,
201906212300,2019/06/21 23:00,36.60,-88.41,None,PAH,D,TSTM WND DMG,2 ENE LYNN GROVE,CALLOWAY,KY,EMERGENCY MNGR,KY-94 AT KY-299 BLOCKED DUE TO DOWN POWER LINE. POWER POLE SNAPPED.,KYC035,Calloway,
201906212304,2019/06/21 23:04,36.65,-88.46,75.0,PAH,G,TSTM WND GST,3 SW KIRKSEY,CALLOWAY,KY,PUBLIC,ESTIMATED 70-80 MPH WINDS. CARPORT ANCHORS RIPPED FROM CONCRETE. TREES DOWN. RELAYED VIA TWITTER.,KYC035,Calloway,E
201906212307,2019/06/21 23:07,31.73,-102.35,0.88,MAF,H,HAIL,8 S ODESSA,ECTOR,TX,PUBLIC,,TXC135,Ector,E
201906212308,2019/06/21 23:08,36.59,-88.34,65.0,PAH,G,TSTM WND GST,2 SW MURRAY,CALLOWAY,KY,NWS EMPLOYEE,ESTIMATED 60-65 MPH WINDS. TREE LIMBS DOWN. REPORTED BY OFF-DUTY NWS EMPLOYEE.,KYC035,Calloway,E
201906212310,2019/06/21 23:10,36.78,-88.07,65.0,PAH,G,TSTM WND GST,3 WSW GOLDON POND,TRIGG,KY,TRAINED SPOTTER,REPORTED ON THE TRACE NEAR US 68.,KYC221,Trigg,E
201906212310,2019/06/21 23:10,30.71,-102.68,None,MAF,T,TORNADO,16 SE FORT STOCKTON,PECOS,TX,PUBLIC,,TXC371,Pecos,
201906212312,2019/06/21 23:12,31.63,-102.33,1.25,MAF,H,HAIL,3 N PLEASANT FARMS,CRANE,TX,PUBLIC,,TXC103,Crane,E
201906212313,2019/06/21 23:13,30.71,-102.68,None,MAF,T,TORNADO,16 SE FORT STOCKTON,PECOS,TX,LAW ENFORCEMENT,FUNNEL NOT FULLY CONDENSED_ BEGAN TO DISSIPATE.,TXC371,Pecos,
201906212315,2019/06/21 23:15,37.89,-87.05,2.0,PAH,R,HEAVY RAIN,ROCKPORT,SPENCER,IN,TRAINED SPOTTER,MEASURED IN 15 TO 20 MINUTES.,INC147,Spencer,E
201906212315,2019/06/21 23:15,36.28,-88.69,None,MEG,D,TSTM WND DMG,DRESDEN,WEAKLEY,TN,BROADCAST MEDIA,LARGE TREE DOWN ACROSS STATE HIGHWAY 54 SOUTH OF DRESDEN AT LIBERTY RD.,TNC183,Weakley,
201906212315,2019/06/21 23:15,36.86,-87.84,None,PAH,D,TSTM WND DMG,1 WSW CADIZ,TRIGG,KY,BROADCAST MEDIA,POWER LINE DOWN ON DEPOT STREET WITH 4 OR 5 KNOCKED DOWN ON TOP OF IT. TIME ESTIMATED.,KYC221,Trigg,
201906212315,2019/06/21 23:15,36.86,-87.83,None,PAH,D,TSTM WND DMG,CADIZ,TRIGG,KY,TRAINED SPOTTER,TREES DOWN AROUND TRIGG COUNTY. TIME ESTIMATED.,KYC221,Trigg,
201906212315,2019/06/21 23:15,36.61,-88.31,None,PAH,D,TSTM WND DMG,MURRAY,CALLOWAY,KY,EMERGENCY MNGR,POWER LINES DOWN.,KYC035,Calloway,
201906212316,2019/06/21 23:16,36.77,-88.12,60.0,PAH,G,TSTM WND GST,1 ESE AURORA,MARSHALL,KY,TRAINED SPOTTER,REPORTED NEAR THE EGGNERS FERRY BRIDGE.,KYC157,Marshall,E
201906212318,2019/06/21 23:18,36.19,-88.80,None,MEG,D,TSTM WND DMG,9 SW DRESDEN,WEAKLEY,TN,TRAINED SPOTTER,TREES DOWN ALONG HIGHWAY 45 NEAR SHARON. A BUILDING WAS ALSO DAMAGED ON MAIN ST IN THE TOWN OF SHARON.,TNC183,Weakley,
201906212320,2019/06/21 23:20,37.88,-87.05,2.0,PAH,R,HEAVY RAIN,ROCKPORT,SPENCER,IN,TRAINED SPOTTER,FELL IN 20 MINUTES.,INC147,Spencer,M
201906212320,2019/06/21 23:20,37.79,-86.35,None,LMK,D,TSTM WND DMG,GARFIELD,BRECKINRIDGE,KY,911 CALL CENTER,REPORT OF TREE FALLEN ON POWER LINES NEAR W HWY 86. POWER LINES ON THE GROUND_ AND LOCAL POWER OUTAGES.,KYC027,Breckinridge,
201906212320,2019/06/21 23:20,35.93,-89.89,None,MEG,D,TSTM WND DMG,2 E BLYTHEVILLE,MISSISSIPPI,AR,TRAINED SPOTTER,TREE UPROOTED ON NORTH HOLLYWOOD ST. DELAYED REPORT.,ARC093,Mississippi,
201906212320,2019/06/21 23:20,36.28,-88.69,None,MEG,D,TSTM WND DMG,DRESDEN,WEAKLEY,TN,BROADCAST MEDIA,REPORT OF A LARGE TREE DOWN ON HIGHWAY 89 NEAR TRAVIS CHAPEL RD. NEAR SHARON_ TN.,TNC183,Weakley,
201906212320,2019/06/21 23:20,36.86,-87.77,None,PAH,D,TSTM WND DMG,3 E CADIZ,TRIGG,KY,BROADCAST MEDIA,MULTIPLE LARGE TREES SNAPPED. TIME ESTIMATED.,KYC221,Trigg,
201906212320,2019/06/21 23:20,36.51,-88.32,None,PAH,D,TSTM WND DMG,HAZEL,CALLOWAY,KY,LAW ENFORCEMENT,MULTIPLE TREES DOWN.,KYC035,Calloway,
201906212322,2019/06/21 23:22,36.87,-87.77,None,PAH,T,TORNADO,3 E CADIZ,TRIGG,KY,NWS STORM SURVEY,THE TORNADO WAS MINOR ROOF DAMAGE TO AT LEAST EIGHT HOMES_ PRIMARILY FROM FALLING TREES. ONE HOME HAD A BROKEN WINDOW. ONE BARN WAS LEVELED. SEVERAL POWER LINES WERE DOWNED_ MAINLY FROM FALLING TREES,KYC221,Trigg,
201906212323,2019/06/21 23:23,36.04,-89.38,None,MEG,D,TSTM WND DMG,DYERSBURG,DYER,TN,TRAINED SPOTTER,TRACTOR TRAILOR BLOWN OVER ON HIGHWAY 412.,TNC045,Dyer,
201906212325,2019/06/21 23:25,30.78,-102.83,1.75,MAF,H,HAIL,8 SSE FORT STOCKTON,PECOS,TX,LAW ENFORCEMENT,,TXC371,Pecos,M
201906212325,2019/06/21 23:25,37.70,-86.14,None,LMK,D,TSTM WND DMG,VERTREES,HARDIN,KY,AMATEUR RADIO,LARGE TREE COMPLETELY BLOCKING ROAD AND ON POWER LINES. NEAR 12000 BLOCK OF HARDINSBURG ROAD IN HARDIN CO.,KYC093,Hardin,
201906212325,2019/06/21 23:25,30.76,-102.78,None,MAF,D,TSTM WND DMG,10 SE FORT STOCKTON,PECOS,TX,EMERGENCY MNGR,POWER POLE SNAPPED AT MID POINT AND POWER LINES DOWN JUST WEST OF HWY 285.,TXC371,Pecos,
201906212328,2019/06/21 23:28,30.78,-102.83,1.75,MAF,H,HAIL,8 SSE FORT STOCKTON,PECOS,TX,LAW ENFORCEMENT,,TXC371,Pecos,M
201906212330,2019/06/21 23:30,36.88,-87.74,70.0,PAH,G,TSTM WND GST,4 W GRACEY,TRIGG,KY,BROADCAST MEDIA,MEASURED AT WKDZ RADIO. TIME ESTIMATED.,KYC221,Trigg,M
201906212330,2019/06/21 23:30,36.01,-89.40,None,MEG,D,TSTM WND DMG,2 SE BRADLEYTOWN,DYER,TN,PUBLIC,ROOF PULLED OFF THE SUNRISE MOTEL IN DYERSBURG_ TN.,TNC045,Dyer,
201906212330,2019/06/21 23:30,36.48,-88.02,None,OHX,D,TSTM WND DMG,10 W DOVER,STEWART,TN,EMERGENCY MNGR,TREES AND POWERLINES DOWN ON OLD PARIS LANDING ROAD AND TOBACCO PORT ROAD.,TNC161,Stewart,
201906212330,2019/06/21 23:30,37.40,-87.76,None,PAH,F,FLASH FLOOD,1 E PROVIDENCE,WEBSTER,KY,EMERGENCY MNGR,HIGHWAY 120 AND HIGHWAY 630 HAVE WATER OVER THEM AND THEY ARE CLOSED.,KYC233,Webster,
201906212331,2019/06/21 23:31,36.32,-88.26,None,MEG,D,TSTM WND DMG,3 ENE PARIS,HENRY,TN,TRAINED SPOTTER,SPOTTER REPORT OF MULTIPLE TREES DOWN ON KYLE LN.,TNC079,Henry,
201906212331,2019/06/21 23:31,36.77,-87.65,None,PAH,T,TORNADO,5 NW HERNDON,CHRISTIAN,KY,NWS STORM SURVEY,THIS CORRECTS PREVIOUS TORNADO REPORT FROM 1.4 MILES NORTHEAST OF HERNDON. THE PATH LENGTH WAS ADJUSTED TO 7.6 MILES. THE TORNADO APPEARED TO BEGIN IN A CORNFIELD ALONG HWY 164 NORTH OF PEEDEE. IT TH,KYC047,Christian,
201906212331,2019/06/21 23:31,36.80,-87.61,None,PAH,T,TORNADO,6 N HERNDON,CHRISTIAN,KY,NWS STORM SURVEY,EF1 TORNADO APPEARED TO START ALONG PIERCE LN NEAR BOYD ROAD AND TRAVELED ALONG PIERCE LN FOR ALMOST A MILE. IT DESTROYED 3 EMPTY GRAIN BINS AND MOVED INTO A FIELD. MOST OF THE DAMAGE WAS ON THE SOUT,KYC047,Christian,
201906212332,2019/06/21 23:32,37.28,-86.85,1.0,LMK,H,HAIL,2 SE COOL SPRINGS,OHIO,KY,PUBLIC,SOCIAL MEDIA REPORT OF QUARTER SIZE HAIL IN SOUTHERN OHIO COUNTY.,KYC183,Ohio,E
201906212338,2019/06/21 23:38,30.73,-102.89,1.75,MAF,H,HAIL,11 S FORT STOCKTON,PECOS,TX,EMERGENCY MNGR,,TXC371,Pecos,M
201906212338,2019/06/21 23:38,36.75,-87.55,None,PAH,T,TORNADO,1.4 NE HERNDON,CHRISTIAN,KY,NWS STORM SURVEY,EF 1 TORNADO MOVED ALONG STRIPED BRIDGE RD SOUTH OF THE INTERSECTION OF WOOSLEY RD. TORNADO DID MAINLY SOFFIT AND ROOF DAMAGE TO 8-10 HOMES ALONG STRIPED BRIDGE RD. ONE SMALL GUEST HOUSE WAS DESTROYE,KYC047,Christian,
201906212340,2019/06/21 23:40,36.76,-87.53,None,PAH,D,TSTM WND DMG,5 NE HERNDON,CHRISTIAN,KY,EMERGENCY MNGR,TREE FELL ON HOUSE.,KYC047,Christian,
201906212340,2019/06/21 23:40,36.81,-87.61,None,PAH,D,TSTM WND DMG,6 SE GRACEY,CHRISTIAN,KY,EMERGENCY MNGR,RELAYED SPOTTER REPORT OF MAJOR TREE DAMAGE AND DEBRIS FIELD ON NEWSTEAD RD.,KYC047,Christian,
201906212340,2019/06/21 23:40,36.76,-87.48,None,PAH,D,TSTM WND DMG,7 W PEMBROKE,CHRISTIAN,KY,EMERGENCY MNGR,FIBERGLASS POLE IS DOWN. MANY TREES DOWN IN AREA.,KYC047,Christian,
201906212341,2019/06/21 23:41,36.01,-88.63,None,MEG,D,TSTM WND DMG,1 WSW TREZEVANT,CARROLL,TN,SOCIAL MEDIA,REPORT OF TREES DOWN ON ATWOOD ST. TREZEVANT_ TN 38258,TNC017,Carroll,
201906212342,2019/06/21 23:42,36.76,-87.53,None,PAH,D,TSTM WND DMG,5 NE HERNDON,CHRISTIAN,KY,EMERGENCY MNGR,TREE BLOCKING LAFAYETTE ROAD. TIME ESTIMATED.,KYC047,Christian,
201906212342,2019/06/21 23:42,36.77,-87.52,None,PAH,D,TSTM WND DMG,6 NE HERNDON,CHRISTIAN,KY,EMERGENCY MNGR,SIGNIFICANT DAMAGE TO A HOUSE ON LOCUS GROVE ROAD. TIME ESTIMATED.,KYC047,Christian,
201906212345,2019/06/21 23:45,37.29,-87.18,1.55,PAH,R,HEAVY RAIN,6 N GREENVILLE,MUHLENBERG,KY,MESONET,IT OCCURRED IN 30 MINUTES.,KYC177,Muhlenberg,M
201906212346,2019/06/21 23:46,36.67,-87.49,63.0,PAH,G,TSTM WND GST,2 WNW FORT CAMPBELL NOR,CHRISTIAN,KY,ASOS,RECORDED AT KHOP ASOS.,KYC047,Christian,M
201906212349,2019/06/21 23:49,36.09,-88.31,None,MEG,D,TSTM WND DMG,3 WSW VALE,CARROLL,TN,AMATEUR RADIO,TREES AND POWER LINES DOWN ON BARREN SPRINGS RD.,TNC017,Carroll,
201906212350,2019/06/21 23:50,36.48,-87.84,None,OHX,D,TSTM WND DMG,DOVER,STEWART,TN,EMERGENCY MNGR,TREES AND POWERLINES DOWN COUNTY WIDE.,TNC161,Stewart,
201906212350,2019/06/21 23:50,36.72,-87.46,None,PAH,D,TSTM WND DMG,4 NNW OAK GROVE,CHRISTIAN,KY,EMERGENCY MNGR,BUILDING AND ROOF DAMAGE TO WEST POWER TOOL. TIME ESTIMATED.,KYC047,Christian,
201906212350,2019/06/21 23:50,36.73,-87.49,None,PAH,D,TSTM WND DMG,6 NW OAK GROVE,CHRISTIAN,KY,TRAINED SPOTTER,TREES DOWN ALONG MILE 83 ON I-24.,KYC047,Christian,
201906212353,2019/06/21 23:53,36.32,-87.76,None,OHX,D,TSTM WND DMG,TENNESSEE RIDGE,HOUSTON,TN,911 CALL CENTER,NUMEROUS TREES DOWN IN TENNESSEE RIDGE AND A FEW DOWN IN ERIN.,TNC083,Houston,
201906212353,2019/06/21 23:53,36.77,-87.39,None,PAH,D,TSTM WND DMG,2 W PEMBROKE,CHRISTIAN,KY,EMERGENCY MNGR,TREE FELL INTO A HOUSE. TIME ESTIMATED.,KYC047,Christian,
201906212355,2019/06/21 23:55,36.06,-88.10,None,MEG,D,TSTM WND DMG,CAMDEN,BENTON,TN,EMERGENCY MNGR,MULTIPLE TREES DOWN AND POWER OUTAGES THOUGHT THE CITY OF CAMDEN AND SEVERAL SCATTERED THROUGH OUT BENTON COUNTY. PSAP IS DOWN AND ALL 911 CALLS ARE BEING ROUTED TO HUMPHREYS AND HENRY COUNTIES.,TNC005,Benton,
201906212355,2019/06/21 23:55,36.06,-88.10,None,MEG,D,TSTM WND DMG,CAMDEN,BENTON,TN,EMERGENCY MNGR,MULTIPLE TREES DOWN AND POWER OUTAGES THROUGHOUT THE CITY OF CAMDEN AND SEVERAL SCATTERED THROUGH OUT BENTON COUNTY. PSAP IS DOWN AND ALL 911 CALLS ARE BEING ROUTED TO HUMPHREYS AND HENRY COUNTIES.,TNC005,Benton,
201906212357,2019/06/21 23:57,36.70,-87.26,None,PAH,T,TORNADO,2 S TRENTON,TODD,KY,NWS STORM SURVEY,THE TORNADO STARTED ALONG HAMMACKSVILLE ROAD SOUTH OF TRENTON. PATH LENGTH WAS 2.8 MILES WITH PEAK WINDS OF 85 MPH AND MAX WIDTH OF 60 YARDS. IT TRACKED THROUGH CORNFIELDS_ WITH STRONG CONVERGENCE NO,KYC219,Todd,
201906220001,2019/06/22 00:01,36.68,-87.26,None,PAH,C,FUNNEL CLOUD,3 S TRENTON,TODD,KY,BROADCAST MEDIA,PICTURE OF FUNNEL CLOUD SOUTH OF TRENTON_ KY. TIME ESTIMATED.,KYC219,Todd,
201906220004,2019/06/22 00:04,36.01,-86.64,None,OHX,C,FUNNEL CLOUD,4 WNW LA VERGNE,DAVIDSON,TN,BROADCAST MEDIA,VIDEO SHARED TO FOX 17 SHOWED FUNNEL CLOUD IN THIS AREA. LOCATION ESTIMATED.,TNC037,Davidson,
201906220004,2019/06/22 00:04,36.56,-87.35,None,OHX,D,TSTM WND DMG,CLARKSVILLE,MONTGOMERY,TN,TRAINED SPOTTER,TREES DOWN ALONG WILMA-RUDOLPH BLVD.,TNC125,Montgomery,
201906220005,2019/06/22 00:05,36.69,-87.29,None,PAH,D,TSTM WND DMG,3 SSW TRENTON,TODD,KY,LAW ENFORCEMENT,SEVERAL TREES DOWN ALONG HIGHWAY 104_ VEHICLE STUCK BETWEEN TREES.,KYC219,Todd,
201906220007,2019/06/22 00:07,39.62,-96.41,None,TOP,C,FUNNEL CLOUD,6 S FRANKFORT,MARSHALL,KS,LAW ENFORCEMENT,,KSC117,Marshall,
201906220008,2019/06/22 00:08,36.83,-86.91,None,LMK,D,TSTM WND DMG,1 SW RUSSELLVILLE,LOGAN,KY,911 CALL CENTER,CORRECTS PREVIOUS TSTM WND DMG REPORT FROM 1 SW RUSSELLVILLE. TREES AND POWER LINES DOWN. POSSIBLE FIRE DUE TO LIGHTNING STRIKE. REPORTED NEAR 100 BLOCK OF NORTH CRESCENT LANE_ RUSSELLVILLE KY.,KYC141,Logan,
201906220008,2019/06/22 00:08,36.83,-86.91,None,LMK,D,TSTM WND DMG,1 SW RUSSELLVILLE,LOGAN,KY,911 CALL CENTER,TREES AND POWER LINES DOWN. POSSIBLE FIRE DUE TO LIGHTNING STRIKE. REPORTED AT 79 NORTH CRESCENT LANE_ RUSSELLVILLE KY.,KYC141,Logan,
201906220008,2019/06/22 00:08,35.93,-86.84,None,OHX,D,TSTM WND DMG,FRANKLIN,WILLIAMSON,TN,LAW ENFORCEMENT,TREES DOWN ACROSS THE COUNTY. CITIES OF FRANKLIN AND FAIRVIEW WERE THE HARDEST HIT AREAS.,TNC187,Williamson,
201906220008,2019/06/22 00:08,35.25,-87.34,None,OHX,D,TSTM WND DMG,LAWRENCEBURG,LAWRENCE,TN,LAW ENFORCEMENT,TREES DOWN ACROSS LAWRENCEBURG,TNC099,Lawrence,
201906220009,2019/06/22 00:09,36.31,-87.37,None,OHX,D,TSTM WND DMG,16 N DICKSON,DICKSON,TN,PUBLIC,NUMEROUS TREES DOWN AROUND 6388 HIGHWAY 48 NORTH,TNC043,Dickson,
201906220009,2019/06/22 00:09,36.09,-87.77,None,OHX,D,TSTM WND DMG,1 E WAVERLY,HUMPHREYS,TN,SOCIAL MEDIA,PHOTO OF TREE OVER ROAD IN WAVERLY.,TNC085,Humphreys,
201906220015,2019/06/22 00:15,36.47,-86.98,None,OHX,C,FUNNEL CLOUD,6 WSW SPRINGFIELD,ROBERTSON,TN,PUBLIC,FUNNEL CLOUD FILMED FOR 5 MINUTES. NO APPARENT TOUCHDOWN OR DAMAGE. LOCATION ESTIMATED.,TNC147,Robertson,
201906220019,2019/06/22 00:19,36.18,-87.35,None,OHX,D,TSTM WND DMG,CHARLOTTE,DICKSON,TN,SOCIAL MEDIA,PHOTO OF TREE ACROSS BREEDEN RD. OFF HWY 49.,TNC043,Dickson,
201906220021,2019/06/22 00:21,39.08,-108.58,0.25,GJT,H,HAIL,1 WSW GRAND JUNCTION,MESA,CO,COCORAHS,,COC077,Mesa,E
201906220027,2019/06/22 00:27,37.16,-86.67,1.17,LMK,R,HEAVY RAIN,2 WSW WOODBURY,BUTLER,KY,MESONET,KY MESONET REPORTS 1.17 INCHES AT BUTLER COUNTY SITE IN LAST 15 MINUTES.,KYC031,Butler,M
201906220027,2019/06/22 00:27,36.39,-87.06,None,OHX,D,TSTM WND DMG,8 N ASHLAND CITY,CHEATHAM,TN,SOCIAL MEDIA,PHOTO OF POWER POLE LEANING OVER HWY 49 NEAR SWEETHOME RD.,TNC021,Cheatham,
201906220028,2019/06/22 00:28,36.81,-86.53,None,LMK,D,TSTM WND DMG,2 S WOODBURN,SIMPSON,KY,911 CALL CENTER,CORRECTS PREVIOUS TSTM WND DMG REPORT FROM 2 S WOODBURN. TREE DOWN. BLOCKING ENTIRE ROAD. REPORTED IN 3000 BLOCK OF SPORTSMAN LAKE ROAD WOODBURN_ KY.,KYC213,Simpson,
201906220028,2019/06/22 00:28,36.81,-86.53,None,LMK,D,TSTM WND DMG,2 S WOODBURN,SIMPSON,KY,911 CALL CENTER,TREE DOWN. BLOCKING ENTIRE ROAD. REPORTED AT 3172 SPORTSMAN LAKE ROAD WOODBURN_ KY.,KYC213,Simpson,
201906220029,2019/06/22 00:29,39.02,-104.77,0.88,PUB,H,HAIL,4 W BLACK FOREST,EL PASO,CO,COCORAHS,,COC041,El Paso,M
201906220029,2019/06/22 00:29,36.07,-87.36,None,OHX,D,TSTM WND DMG,1 SE DICKSON,DICKSON,TN,SOCIAL MEDIA,POWER LINE SNAPPED ON OLD COLUMBIA RD. NEAR HWY 70,TNC043,Dickson,
201906220030,2019/06/22 00:30,39.07,-108.50,0.25,GJT,H,HAIL,2 SW FRUITVALE,MESA,CO,COCORAHS,LARGEST 0.375 INCHES.,COC077,Mesa,M
201906220030,2019/06/22 00:30,36.83,-86.38,None,LMK,D,TSTM WND DMG,1 WSW BOYCE,WARREN,KY,PUBLIC,CORRECTS PREVIOUS TSTM WND DMG REPORT FROM 1 WSW BOYCE. UNKNOWN CAUSE. REPORT FROM PUBLIC WHO HEARD ABOUT THE INCIDENT ON POLICE SCANNER TO EMS. REPORTED IN 10000 BLOCK OF WOODBURN ALLEN SPRINGS RD_ ,KYC227,Warren,
201906220030,2019/06/22 00:30,36.83,-86.38,None,LMK,D,TSTM WND DMG,1 WSW BOYCE,WARREN,KY,PUBLIC,UNKNOWN CAUSE. REPORT FROM PUBLIC WHO HEARD ABOUT THE INCIDENT ON POLICE SCANNER TO EMS. REPORTED AT 10551 WOODBURN ALLEN SPRINGS RD_ ALVATON_ KY 42122.,KYC227,Warren,
201906220030,2019/06/22 00:30,36.73,-86.53,None,LMK,D,TSTM WND DMG,3 E FRANKLIN,SIMPSON,KY,911 CALL CENTER,CORRECTS PREVIOUS TSTM WND DMG REPORT FROM 3 E FRANKLIN. TREE DOWN ON ROAD. REPORTED IN 100 BLOCK OF ROARK ROAD FRANKLIN.,KYC213,Simpson,
201906220030,2019/06/22 00:30,36.73,-86.53,None,LMK,D,TSTM WND DMG,3 E FRANKLIN,SIMPSON,KY,911 CALL CENTER,TREE DOWN ON ROAD. REPORTED AT 106 ROARK ROAD FRANKLIN.,KYC213,Simpson,
201906220030,2019/06/22 00:30,37.24,-86.18,None,LMK,D,TSTM WND DMG,5 WNW MAMMOTH CAVE,EDMONSON,KY,911 CALL CENTER,REPORT OF TREE DOWN ACROSS OLLIE RIDGE ROAD. TIME ESTIMATED FROM RADAR.,KYC061,Edmonson,
